115-CD45,139-CD45RA,142-CD19,144-CD11b,145-CD4,146-CD8,148-CD34,147-CD20,158-CD33,160-CD123,167-CD38,170-CD90,110_114-CD3
4.32419,-0.04004,-0.28741,-0.14866,2.73042,1.77754,0.13781,-0.05515,0.08663,0.16162,2.03685,1.26565,4.96879
4.85288,-0.61321,-0.24186,0.43913,3.74161,-0.14792,-0.20245,-0.17167,-0.66516,-0.15368,-0.93786,1.02193,5.41023
4.93109,-0.34161,-0.05825,3.30494,1.91995,-0.31587,0.06103,-0.08393,4.51695,1.03278,3.70954,1.14399,-1.29999
4.30378,4.11872,1.29565,-0.43628,-0.14503,-0.28392,-0.21096,2.12623,-0.15156,0.99204,2.4678,0.29433,-1.10769
2.15387,-0.06948,-0.11625,1.15755,-0.09467,-0.23018,-0.074,-0.06513,2.20505,1.16149,2.82634,0.48611,0.74164
5.16355,2.77486,0.90223,-0.04841,-0.11215,4.82461,1.54868,1.19967,1.72864,-0.07844,2.73575,0.57863,4.1743
4.86581,4.86907,-0.05337,2.00228,-0.03169,2.46882,-0.10003,-0.02707,1.27852,-0.15247,5.28204,1.94546,-1.43778
4.78081,0.72289,-0.07897,0.6241,-0.17462,3.56405,1.67402,0.22783,-0.17139,-0.17102,2.23795,0.67834,3.56946
3.74813,3.26765,0.61508,0.65076,0.23517,3.83422,0.36862,0.2689,-0.50745,-0.42726,2.58075,1.34851,3.59722
-0.96498,0.3655,-0.6653,-0.04681,0.10675,-0.32623,-0.24294,-0.06655,1.49703,-0.02028,-0.35301,1.23228,-0.1129
4.32435,3.05736,-0.16852,0.03766,3.12713,-0.01183,0.19948,-0.17326,0.97415,-0.02554,2.78335,-0.03662,4.75379
1.64415,-0.16746,-0.13953,0.67503,-0.20631,-0.11244,-0.01131,-0.13037,1.18876,0.83302,1.03411,1.31506,-0.2114
4.83755,3.88138,-0.24754,0.25172,-0.83899,4.07557,0.07106,0.1124,-0.39127,-0.13298,1.06284,-0.19286,3.30572
4.72843,1.4693,-0.09913,-0.08573,0.40476,4.87408,-0.0906,0.84774,-0.07959,-0.00646,0.95306,-0.12341,4.65292
2.67497,0.95374,0.16765,0.07183,0.34086,-0.15925,3.29088,1.1425,3.07499,4.0904,5.1291,0.47192,1.36239
4.25559,3.07786,-0.09028,-0.09942,3.33596,2.40932,-0.09068,0.82173,0.73063,-0.22279,2.08507,0.0208,4.7928
1.99135,1.4066,0.40333,-0.08347,-0.13341,-0.04018,-0.13802,-0.03178,-0.05234,-0.13521,2.21384,-0.01691,1.80996
3.77524,2.21784,-0.04778,-0.22124,3.12081,-0.14207,-0.14829,0.61909,-0.0754,-0.15429,2.92808,-0.10169,4.39374
0.2321,0.2093,-0.11938,-0.39521,-0.18311,-0.02123,-0.92106,-0.18018,-0.24947,-0.11093,0.03336,0.59235,1.67738
5.19628,0.23276,-0.11232,2.14364,-0.0164,4.60697,-0.00877,0.77286,-0.34491,0.34418,2.34208,0.3831,3.54513
4.10736,1.69922,-0.14543,-0.06456,1.94807,0.87297,0.15712,0.34132,-0.09776,0.91455,4.04623,1.9063,3.26688
4.42081,-0.20282,-0.17145,2.60366,1.57437,-0.13908,0.84317,0.31301,4.4904,0.74489,3.82134,0.94563,-0.96253
4.21224,0.20523,-0.00227,-0.00841,1.52308,-0.15685,-0.1459,-0.18517,-0.16311,-0.12397,-0.09895,-0.06013,4.48332
4.15158,2.92019,-0.05633,0.4766,0.46214,4.28787,-0.08884,0.37788,0.63035,-0.10756,3.14657,0.559,3.64236
4.2903,3.01857,3.51896,0.42163,-0.21889,-0.11982,0.71805,3.33849,-0.09598,2.21955,2.43915,1.35683,-0.37779
1.36796,-0.48051,-0.14291,-0.03531,-0.18208,-0.06287,-0.08652,-0.13683,-0.05877,-0.13523,0.7824,-0.1716,2.02228
4.01149,0.06189,-0.00128,-0.29771,2.92545,0.91122,0.33257,-0.33027,0.6078,-0.19303,1.87616,-0.02716,4.5679
4.76983,1.07209,-0.06454,0.07266,4.24306,1.02612,-0.05723,-0.07231,0.38047,-0.04129,3.07533,0.40083,4.89647
-0.18056,0.96124,-0.11033,-0.02074,-0.13298,-0.06473,0.74869,-0.13763,-0.13129,-0.13024,0.51331,0.0805,1.605
4.40792,3.87638,3.62494,1.50732,-0.12329,1.25851,0.22087,3.29664,0.89094,-0.03,1.596,1.41866,-0.34196
3.64184,3.27709,-0.07093,0.40161,2.5325,0.19968,-0.32203,-0.06313,0.24831,-0.01654,2.89038,-0.06228,3.85301
4.37859,2.97355,-0.0947,0.94941,3.47636,-0.16258,-0.04526,-0.10637,-0.24793,-0.03385,3.23392,1.50529,4.45556
4.44603,1.21301,-0.16167,-0.07374,3.1292,-0.28168,-0.00505,-0.06367,-0.08924,-0.12131,2.86333,-0.00504,4.65141
2.62195,0.161,1.29423,0.29781,0.33234,1.53224,1.06131,0.05796,4.02515,1.63757,4.75006,0.39443,2.5716
2.62812,0.36279,-0.13983,1.68994,-0.11069,-0.24139,0.49541,0.35424,2.73812,0.49713,2.90448,-0.09085,-0.54816
1.61816,-0.8664,2.8884,-0.11806,-0.3471,-0.30568,2.96841,-0.1525,1.20219,1.00128,5.01783,-0.08831,-1.31594
4.24011,3.36471,-0.1368,-0.16061,-0.00877,3.82551,-0.03955,0.39731,0.41335,-0.18984,1.56012,-0.03599,3.53111
1.84161,0.33898,0.5862,2.05789,-0.07638,0.29152,1.1184,0.37291,1.48348,0.62379,1.64446,1.25076,-0.13999
4.12003,3.89008,-0.36703,0.21313,0.5549,0.39562,-0.08963,0.48473,-0.07139,0.83055,2.89581,0.5869,3.87889
4.42429,-0.24722,0.72084,0.50953,3.13245,1.80936,3.48583,-0.13833,-0.18899,-0.43672,-0.85005,-0.02553,3.89359
4.51844,3.15094,-0.16635,0.61268,-0.18132,0.06087,0.56654,-0.01325,-0.05067,-0.19554,1.96859,0.19275,1.40167
4.03516,3.62855,-0.13174,-0.10787,-0.26455,3.69274,-0.12935,1.20486,-0.21431,-0.13333,1.84175,-0.12865,3.07881
2.5297,0.41789,-0.15153,0.75039,0.43889,-0.18397,2.07196,-0.11217,1.90592,1.16851,2.33805,-0.10814,-0.216
4.63455,2.61925,-0.00896,-0.61594,3.85946,0.48525,2.08486,-0.1512,-0.08666,-0.09992,2.45682,-0.13113,4.90344
1.11384,0.78834,-0.09046,-0.25704,-0.14453,0.85618,-0.39413,-0.14149,2.17706,-0.18609,4.4288,0.88534,3.66602
3.16012,-0.07464,-0.28617,1.7631,-0.16291,0.5919,1.43934,-0.04193,3.29767,1.57788,4.55123,0.49872,1.17541
0.97121,-0.21648,-0.20598,-0.19578,-0.05471,0.28536,-0.01452,1.61541,0.80038,0.20068,1.01467,0.3774,2.07962
4.22806,1.12768,-0.03048,0.47652,3.00827,-0.31718,1.49377,0.24165,-0.51078,-0.07734,2.24496,0.84625,4.86111
5.03476,-0.04444,-0.11263,-0.01165,0.14289,4.24705,-0.14712,0.63968,-0.32673,-0.26421,1.34271,-0.17823,4.84025
4.61875,0.4219,-0.05864,3.55928,1.26517,0.26031,1.05192,-0.03701,5.11297,0.91907,4.35565,0.28078,-0.51821
4.16381,2.89774,-0.09124,2.02392,0.01545,2.37015,-0.12348,0.86288,-0.26512,-0.19878,5.71988,0.79085,-1.52231
2.49201,0.04473,-0.12644,0.21466,1.14383,-0.01983,0.69018,-0.00539,0.07145,-0.14094,1.5518,-0.10174,3.74071
4.03349,2.7099,-0.16761,-0.02591,3.54018,-1.19777,1.42456,0.17708,-0.0099,0.55479,3.03138,1.28998,3.94184
4.76256,-0.156,-0.13553,-0.07406,3.58266,1.25768,0.22235,-0.20922,1.85654,2.11718,3.43845,0.62426,5.53498
4.43623,3.33429,2.82531,-0.11729,0.56984,0.04788,1.25617,2.3909,0.25564,-0.32761,0.92263,0.2978,-0.65777
4.42026,3.37754,-0.07591,-0.30583,3.66737,1.70136,-0.16702,0.23713,-0.3201,1.27414,2.72829,1.16333,4.89383
4.54965,3.71207,-0.14882,0.09919,3.88347,-0.23518,0.47826,-0.15515,0.40148,-0.24281,3.38998,-0.25598,4.22746
4.66593,2.35716,-0.04182,0.34832,-0.17353,4.15682,-0.12775,0.56004,-0.01747,-0.05685,1.82063,0.5376,4.34033
3.5792,2.16781,-0.02381,1.09858,0.11351,-0.00967,0.25954,0.69137,4.56444,0.64004,4.66628,1.55895,1.78773
4.77402,-0.23565,-0.10819,1.94202,3.58698,-0.16176,1.44847,1.26444,-0.01252,-0.00406,0.44931,0.20985,3.98692
1.77975,-0.16421,-0.05768,-0.03235,-0.03405,-0.12193,-0.0552,-0.08294,0.99257,-0.25434,1.55478,0.80077,0.02801
5.00924,3.42209,2.5169,-0.39515,0.35041,2.31137,0.07241,2.60609,0.86811,2.12661,4.26404,-0.3252,2.74472
4.64702,1.38609,0.43426,0.28184,1.42817,2.97876,0.36781,-0.09296,0.7327,-0.11439,1.6864,1.18359,4.4677
1.34324,-0.1698,-0.09806,-0.13264,0.65092,-0.13787,-0.15374,0.4139,-0.03517,0.79742,0.6218,-0.02803,3.2175
4.87519,3.55441,2.53485,-0.08339,-0.05115,-0.09049,-0.04669,1.24521,-0.0774,0.77276,0.98117,-0.15689,0.48224
0.33244,-0.58172,-0.23419,0.54371,-0.67646,-0.1826,-0.15357,-0.04912,-0.19733,-0.17985,-0.7811,-0.25061,-3.01776
2.0201,0.88527,-0.28403,-0.35757,0.63217,-0.11937,-0.13678,0.6538,2.52084,-0.0231,4.46583,-0.34668,-0.70669
4.59885,3.81497,-0.00339,0.45306,-0.14043,-0.06715,-0.00038,-0.11835,-0.2784,-0.16693,4.77673,-0.0207,-1.25647
4.76633,3.69193,-0.07757,-0.13193,0.73442,4.25987,-0.18074,0.99161,0.18158,-0.15892,2.47138,-0.03931,3.84859
-0.10988,0.74662,-0.07421,-0.00849,0.07288,-0.03661,-0.14059,-0.12275,1.04428,-0.12389,1.6512,1.34449,-0.5581
4.68569,0.15464,-0.00817,-0.3092,3.3167,1.65415,0.58522,0.28703,-0.36034,-0.08677,0.35653,-0.09318,4.72078
